Experiment_number,Participant_num,Female_0_Male_1,Task,tanned_fair_skin_face,face_number,H,S,V,R,G,B,L*,a*,b*,cold_hue_>90<270_chosen_1,time_ms
Experiment_1,3,1,hue vs brightness,fair,4,195,1,0.88,0,168,224,64.47311461,-16.33818129,-38.28882319,1,3890
Experiment_1,3,1,hue vs brightness,tanned,12,45,1,0.98,249,187,0,79.43156922,9.902140689,81.64573451,0,4201
Experiment_1,3,1,hue vs saturation,tanned,12,24,0.39,1,255,195,155,83.26146027,16.40894561,28.39145333,0,12296
Experiment_1,3,1,hue vs saturation,tanned,11,32,0.71,1,255,170,73,76.3693423,23.05217238,60.63817917,0,16144
Experiment_1,3,1,hue vs saturation,tanned,10,1,0.58,1,255,109,107,64.36992829,55.48238775,29.35900487,0,5815
Experiment_1,3,1,hue vs saturation,fair,6,357,0.62,1,255,96,104,62.18997138,60.92946454,28.22061399,0,3331
Experiment_1,3,1,hue vs saturation,tanned,7,52,0.58,1,255,235,107,92.45918659,-8.347033248,63.22542931,0,5156
Experiment_1,3,1,hue vs saturation,fair,5,27,0.4,1,255,198,153,83.93872709,14.62479314,30.34604475,0,7432
Experiment_1,3,1,hue vs saturation,tanned,8,40,0.38,1,255,222,158,89.8459558,2.77265713,35.60374069,0,5813
Experiment_1,3,1,hue vs saturation,tanned,9,40,0.47,1,255,215,135,87.78060017,4.017403648,44.50923062,0,4430
Experiment_1,3,1,hue vs saturation,fair,4,32,0.31,1,255,218,175,89.15730206,6.813048015,25.94887754,0,4098
Experiment_1,3,1,hue vs saturation,fair,1,29,0.42,1,255,199,147,84.07677071,13.4678407,33.64976213,0,5228
Experiment_1,3,1,hue vs saturation,fair,2,52,0.19,1,255,248,206,97.16711344,-4.282662056,21.04711402,0,12225
Experiment_1,3,1,hue vs saturation,fair,3,8,0.33,1,255,182,170,80.52604074,24.96009789,16.66520114,0,3814
Experiment_1,4,0,hue vs saturation,tanned,11,133,0.82,1,45,255,91,88.36811145,-79.17474977,62.73804827,1,29877
Experiment_1,4,0,hue vs saturation,tanned,10,51,0.82,1,255,223,45,89.02862874,-5.296126392,82.04890382,0,6563
Experiment_1,4,0,hue vs saturation,tanned,8,304,0.74,1,255,66,242,62.98358347,86.59329934,-49.39262119,0,5593
Experiment_1,4,0,hue vs saturation,fair,5,273,0.83,1,159,43,255,47.38984405,78.94032784,-82.49059624,0,14444
Experiment_1,4,0,hue vs saturation,fair,1,69,0.77,1,225,255,58,95.09059527,-32.58077879,83.01368146,0,9177
Experiment_1,4,0,hue vs saturation,tanned,9,56,0.17,1,255,252,211,98.26669232,-5.55868731,20.02961954,0,6995
Experiment_1,4,0,hue vs saturation,tanned,7,56,0.35,1,255,249,165,96.70899904,-10.00718819,41.07621703,0,214
Experiment_1,4,0,hue vs saturation,fair,6,351,0.91,1,255,22,57,54.16384823,79.20821842,45.22742642,0,7673
Experiment_1,4,0,hue vs saturation,fair,2,162,0.52,1,122,255,215,91.9372707,-45.95122426,8.000640072,1,9233
Experiment_1,4,0,hue vs saturation,fair,4,346,0.82,1,255,45,94,56.03260906,76.88574501,26.01089831,0,15279
Experiment_1,4,0,hue vs saturation,tanned,12,17,0.91,1,255,88,22,60.15645212,61.07481555,65.62674229,0,6130
Experiment_1,4,0,hue vs saturation,fair,3,171,0.32,1,173,255,242,94.65974072,-27.5640222,-1.731358168,1,18352
Experiment_1,4,0,hue vs brightness,tanned,10,60,1,0.66,168,168,0,66.77137409,-15.77019443,69.12291251,0,8602
Experiment_1,4,0,hue vs brightness,tanned,9,219,1,0.78,0,69,198,34.66792534,34.65461151,-71.32687716,1,6927
Experiment_1,4,0,hue vs brightness,fair,4,344,1,0.95,242,0,64,50.97541743,78.17389434,36.96286969,0,5888
Experiment_1,4,0,hue vs brightness,tanned,12,143,1,0.63,0,160,61,57.53873099,-56.66158505,40.89427471,1,4312
Experiment_1,4,0,hue vs brightness,tanned,11,334,1,0.66,168,0,72,35.58208744,61.12291502,9.138838629,0,12857
Experiment_1,4,0,hue vs brightness,fair,6,254,1,0.56,33,0,142,16.87528628,51.80440829,-66.98355463,1,8905
Experiment_1,4,0,hue vs brightness,fair,1,84,1,0.78,119,198,0,72.43528569,-49.28065085,72.02224836,0,7400
Experiment_1,4,0,hue vs brightness,fair,5,226,1,0.63,0,37,160,23.20716708,40.65398631,-67.59878281,1,14725
Experiment_1,4,0,hue vs brightness,tanned,7,347,1,0.6,153,0,33,31.53700966,55.40362239,28.66476491,0,10346
Experiment_1,4,0,hue vs brightness,fair,3,101,1,0.71,57,181,0,64.89711704,-60.44389424,65.15861042,1,4842
Experiment_1,4,0,hue vs brightness,tanned,8,193,1,0.82,0,163,209,62.33660012,-18.99122315,-33.31258935,1,6228
Experiment_1,4,0,hue vs brightness,fair,2,68,1,0.83,183,211,0,79.98561288,-30.42248957,79.42060449,0,14942
Experiment_1,5,0,hue vs saturation,tanned,10,77,0.64,1,208,255,91,94.17759994,-37.43394016,70.71024965,0,17515
Experiment_1,5,0,hue vs saturation,fair,3,341,0.7,1,255,76,133,59.9991025,70.75040127,8.42526698,0,4357
Experiment_1,5,0,hue vs saturation,tanned,8,39,0.62,1,255,199,96,83.41678894,9.209824992,57.99261813,0,5721
Experiment_1,5,0,hue vs saturation,fair,2,32,0.63,1,255,180,94,78.87431713,18.97775837,53.79099792,0,6154
Experiment_1,5,0,hue vs saturation,fair,5,225,0.53,1,119,153,255,64.9025228,16.52583752,-54.40125225,1,3366
Experiment_1,5,0,hue vs saturation,tanned,7,352,0.3,1,255,178,188,80.02841094,29.37841572,6.250247689,0,5466
Experiment_1,5,0,hue vs saturation,fair,1,236,0.62,1,96,107,255,52.08749551,39.73233626,-75.06879582,1,2764
Experiment_1,5,0,hue vs saturation,tanned,9,117,0.69,1,87,255,79,88.97480064,-74.37410164,68.18838194,1,2822
Experiment_1,5,0,hue vs saturation,fair,4,216,0.28,1,183,212,255,84.16024439,-0.150268619,-24.15541155,1,3653
Experiment_1,5,0,hue vs saturation,fair,6,137,0.5,1,127,255,163,91.08765946,-54.95728141,33.33153344,1,3406
Experiment_1,5,0,hue vs saturation,tanned,11,310,0.49,1,255,130,234,71.66734261,60.53739373,-31.39902139,0,3135
Experiment_1,5,0,hue vs saturation,tanned,12,67,0.4,1,243,255,153,97.17668409,-18.77029493,47.34982052,0,9234
Experiment_1,5,0,hue vs brightness,fair,1,214,1,0.69,0,76,175,34.52681447,20.76384072,-58.01931512,1,6298
Experiment_1,5,0,hue vs brightness,tanned,8,51,1,0.34,86,73,0,31.2157494,-2.022742817,39.89217006,0,2802
Experiment_1,5,0,hue vs brightness,tanned,12,48,1,0.28,71,57,0,24.53154045,0.101918878,33.58041722,0,4039
Experiment_1,5,0,hue vs brightness,fair,2,218,1,0.61,0,57,155,27.55320965,25.57511281,-57.3838707,1,3589
Experiment_1,5,0,hue vs brightness,fair,6,196,1,0.42,0,78,107,30.66507818,-9.185693025,-22.56754207,1,3534
Experiment_1,5,0,hue vs brightness,tanned,9,133,1,0.31,0,79,17,28.46552189,-35.47361039,29.09816883,1,2996
Experiment_1,5,0,hue vs brightness,tanned,7,186,1,0.34,0,78,86,29.71487187,-17.45925072,-10.66862578,1,3308
Experiment_1,5,0,hue vs brightness,fair,5,185,1,0.65,0,151,165,56.92881036,-27.97276747,-16.84390393,1,7583
Experiment_1,5,0,hue vs brightness,tanned,11,240,1,0.65,0,0,165,18.87122646,57.1746757,-77.87034004,1,6895
Experiment_1,5,0,hue vs brightness,tanned,10,223,1,0.31,0,22,79,10.09441895,18.23727007,-37.09340424,1,3114
Experiment_1,5,0,hue vs brightness,fair,3,186,1,0.21,0,48,53,17.3246217,-12.89241514,-7.534904128,1,5028
Experiment_1,5,0,hue vs brightness,fair,4,204,1,0.24,0,36,61,13.22209439,-1.292866594,-19.50418718,1,2129
Experiment_1,6,0,hue vs brightness,fair,1,266,1,0.42,46,0,107,13.48599486,43.58248829,-50.17381191,1,47813
Experiment_1,6,0,hue vs brightness,fair,4,132,1,0.47,0,119,23,43.14574516,-47.86552673,41.47949731,1,1115
Experiment_1,6,0,hue vs brightness,tanned,8,189,1,0.56,0,121,142,46.48225575,-20.45459874,-19.43981071,1,1120
Experiment_1,6,0,hue vs brightness,fair,2,346,1,0.54,137,0,32,27.90646833,51.24773702,24.23185464,0,1006
Experiment_1,6,0,hue vs brightness,fair,6,86,1,0.56,80,142,0,53.00578523,-39.94723533,56.12440391,0,700
Experiment_1,6,0,hue vs brightness,fair,3,127,1,0.55,0,140,16,50.44482209,-54.59029078,50.25859266,1,1124
Experiment_1,6,0,hue vs brightness,tanned,9,186,1,0.56,0,128,142,48.74938478,-24.13548502,-15.97456448,1,873
Experiment_1,6,0,hue vs brightness,tanned,10,310,1,0.43,109,0,91,23.69305445,49.79797654,-22.51209217,0,848
Experiment_1,6,0,hue vs brightness,tanned,12,323,1,0.37,94,0,58,18.73617668,42.2508158,-7.887876734,0,28915
Experiment_1,6,0,hue vs brightness,tanned,11,127,1,0.79,0,201,23,70.75711476,-71.48372489,66.60121831,1,1048
Experiment_1,6,0,hue vs brightness,fair,5,202,1,0.81,0,130,206,52.31045308,-1.457453774,-47.39127739,1,873
Experiment_1,6,0,hue vs brightness,tanned,7,334,1,0.73,186,0,80,39.61125896,65.87861285,10.16186481,0,925
Experiment_1,6,0,hue vs saturation,tanned,8,134,0.01,1,252,255,253,99.73153354,-1.332022625,0.596666053,1,1040
Experiment_1,6,0,hue vs saturation,tanned,11,195,0.21,1,201,241,255,92.81623235,-9.905741686,-11.01681425,1,568
Experiment_1,6,0,hue vs saturation,tanned,12,347,0.54,1,255,117,147,66.58799603,55.21823969,9.722103319,0,629
Experiment_1,6,0,hue vs saturation,fair,6,116,0.57,1,119,255,109,90.11227187,-64.45311218,57.59442673,1,743
Experiment_1,6,0,hue vs saturation,tanned,10,239,0.54,1,117,119,255,56.28306251,36.20873012,-68.20721364,1,685
Experiment_1,6,0,hue vs saturation,fair,3,315,0.59,1,255,104,217,66.6499051,69.58357312,-29.72911553,0,717
Experiment_1,6,0,hue vs saturation,fair,5,101,0.5,1,167,255,127,92.25072562,-48.61468162,52.51604237,1,661
Experiment_1,6,0,hue vs saturation,fair,4,131,0.46,1,137,255,159,91.38861707,-53.06809453,35.78458376,1,418
Experiment_1,6,0,hue vs saturation,tanned,7,317,0.38,1,255,158,227,76.83609757,45.56668934,-19.66725836,0,821
Experiment_1,6,0,hue vs saturation,tanned,9,61,0.42,1,253,255,147,97.83681389,-15.59131873,51.20561494,0,850
Experiment_1,6,0,hue vs saturation,fair,1,214,0.26,1,188,217,255,85.77444372,-1.348307494,-21.67509177,1,21602
Experiment_1,6,0,hue vs saturation,fair,2,218,0.4,1,153,190,255,76.56937026,3.543051611,-35.96495517,1,34531
Experiment_1,7,0,hue vs saturation,fair,6,233,0.71,1,73,95,255,48.03355396,43.88136426,-81.73670137,1,37449
Experiment_1,7,0,hue vs saturation,fair,2,92,0.89,1,133,255,28,90.13274778,-65.92504388,83.3166331,1,21532
Experiment_1,7,0,hue vs saturation,tanned,8,322,0.32,1,255,173,225,79.94469337,37.49260816,-13.89722979,0,5910
Experiment_1,7,0,hue vs saturation,fair,5,318,0.66,1,255,86,204,63.56969316,74.85924273,-27.17289661,0,7273
Experiment_1,7,0,hue vs saturation,tanned,9,36,0.46,1,255,208,137,86.09532316,7.806633344,41.37733711,0,14382
Experiment_1,7,0,hue vs saturation,tanned,12,125,0.74,1,66,255,82,88.58462739,-77.5755153,66.54352132,1,3944
Experiment_1,7,0,hue vs saturation,tanned,11,319,0.48,1,255,132,216,71.36478516,56.79333185,-21.94382346,0,5661
Experiment_1,7,0,hue vs saturation,fair,3,143,0.73,1,68,255,140,89.22521966,-70.08489738,41.909783,1,15271
Experiment_1,7,0,hue vs saturation,tanned,10,253,0.21,1,213,201,255,83.51568211,14.65854977,-24.94046545,1,4469
Experiment_1,7,0,hue vs saturation,fair,4,132,0.71,1,73,255,110,88.95189935,-73.60087032,55.5038754,1,4388
Experiment_1,7,0,hue vs saturation,tanned,7,66,0.56,1,240,255,112,96.49855112,-23.65167037,65.27964681,0,4385
Experiment_1,7,0,hue vs saturation,fair,1,135,0.41,1,150,255,176,92.19333987,-46.75006499,28.45065939,1,3242
Experiment_1,7,0,hue vs brightness,fair,6,230,1,0.19,0,8,48,3.496339316,10.34089356,-25.68686931,1,268329
Experiment_1,7,0,hue vs brightness,tanned,12,169,1,0.27,0,68,56,25.01327843,-22.71046448,1.832204187,1,3720
Experiment_1,7,0,hue vs brightness,fair,5,220,1,0.22,0,18,56,6.486868257,10.02107428,-26.76549054,1,6460
Experiment_1,7,0,hue vs brightness,tanned,9,24,1,0.59,150,60,0,37.32735757,35.41024725,48.35413322,0,9251
Experiment_1,7,0,hue vs brightness,fair,2,113,1,0.42,12,107,0,38.88729975,-44.2572165,44.06793379,1,4229
Experiment_1,7,0,hue vs brightness,fair,1,148,1,0.68,0,173,80,62.05451401,-58.13083101,37.09947594,1,4637
Experiment_1,7,0,hue vs brightness,tanned,7,236,1,0.31,0,5,79,6.079646865,29.2780194,-43.73257772,1,5802
Experiment_1,7,0,hue vs brightness,tanned,11,226,1,0.64,0,38,163,23.77224924,41.14194005,-68.48750415,1,2842
Experiment_1,7,0,hue vs brightness,tanned,8,295,1,0.35,81,0,89,17.78511641,44.14461009,-30.93273474,0,4477
Experiment_1,7,0,hue vs brightness,tanned,10,220,1,0.53,0,45,135,22.39449223,25.66688849,-53.50061319,1,3868
Experiment_1,7,0,hue vs brightness,fair,3,129,1,0.52,0,132,19,47.6873747,-52.07514162,47.0153141,1,4633
Experiment_1,7,0,hue vs brightness,fair,4,236,1,0.34,0,5,86,7.049534305,32.27373673,-46.93748342,1,5763
Experiment_1,8,1,hue vs brightness,tanned,12,45,1,0.91,232,174,0,74.46265181,9.390553933,77.3949199,0,42942
Experiment_1,8,1,hue vs brightness,fair,3,176,1,0.94,0,239,223,85.53459796,-50.31592878,-5.731700279,1,27642
Experiment_1,8,1,hue vs brightness,tanned,9,40,1,0.86,219,146,0,66.22688531,18.67614603,71.1507152,0,3179
Experiment_1,8,1,hue vs brightness,fair,5,323,1,0.91,232,0,143,50.84940545,80.96143533,-11.41698015,0,10150
Experiment_1,8,1,hue vs brightness,tanned,7,45,1,0.86,219,164,0,70.60188234,9.025987531,74.0946093,0,5207
Experiment_1,8,1,hue vs brightness,tanned,11,46,1,0.84,214,164,0,70.06863694,6.827225438,73.47661938,0,1659
Experiment_1,8,1,hue vs brightness,fair,2,302,1,0.89,226,0,219,53.25808226,88.70301594,-52.21055407,0,10852
Experiment_1,8,1,hue vs brightness,fair,1,176,1,0.95,0,242,226,86.50169567,-50.740236,-5.877826086,1,13177
Experiment_1,8,1,hue vs brightness,fair,6,300,1,0.93,237,0,237,56.2066926,92.95883559,-57.56386894,0,5130
Experiment_1,8,1,hue vs brightness,tanned,8,48,1,0.92,234,187,0,77.89452158,3.438378056,79.86128075,0,5123
Experiment_1,8,1,hue vs brightness,fair,4,72,1,0.92,187,234,0,86.70688862,-39.30005922,84.59597812,0,3161
Experiment_1,8,1,hue vs brightness,tanned,10,59,1,0.66,168,165,0,65.93129452,-14.22581632,68.50935648,0,15361
Experiment_1,8,1,hue vs saturation,tanned,7,68,0.35,1,243,255,165,97.34569662,-17.4322296,41.72903528,0,7092
Experiment_1,8,1,hue vs saturation,tanned,12,26,0.27,1,255,215,186,88.6410134,9.770615765,19.508416,0,3262
Experiment_1,8,1,hue vs saturation,fair,3,13,0.1,1,255,235,229,94.45489038,5.795937146,5.344875123,0,7496
Experiment_1,8,1,hue vs saturation,fair,5,23,0.19,1,255,225,206,91.49007425,7.396578963,13.06744345,0,2749
Experiment_1,8,1,hue vs saturation,tanned,8,39,0.39,1,255,220,155,89.30530803,3.467511986,36.41722219,0,4104
Experiment_1,8,1,hue vs saturation,fair,1,319,0.07,1,255,237,249,95.44147213,8.12058917,-3.595499654,0,12460
Experiment_1,8,1,hue vs saturation,fair,6,298,0.09,1,254,232,255,94.314085,11.42551477,-8.384219937,0,3351
Experiment_1,8,1,hue vs saturation,tanned,9,39,0.24,1,255,233,193,93.18407982,1.473276874,22.18354979,0,5400
Experiment_1,8,1,hue vs saturation,tanned,10,9,0.22,1,255,207,198,86.97864735,15.57458524,10.85412753,0,3716
Experiment_1,8,1,hue vs saturation,fair,4,57,0.09,1,255,253,232,98.96093216,-2.84592564,10.27590828,0,5127
Experiment_1,8,1,hue vs saturation,tanned,11,46,0.3,1,255,237,178,93.90152373,-2.495055017,30.84292005,0,4791
Experiment_1,8,1,hue vs saturation,fair,2,345,0.07,1,255,237,241,95.23636408,6.749699439,0.252935184,0,6531
Experiment_1,9,0,hue vs saturation,fair,2,333,0.68,1,255,81,159,61.34936661,71.40654795,-4.762352227,0,55590
Experiment_1,9,0,hue vs saturation,tanned,8,245,0.57,1,121,109,255,54.26200041,42.80824212,-71.46076224,1,4641
Experiment_1,9,0,hue vs saturation,tanned,10,217,0.54,1,117,170,255,69.29206865,6.307920688,-47.47059085,1,10142
Experiment_1,9,0,hue vs saturation,tanned,7,32,0.59,1,255,184,104,79.92042423,17.55273583,50.19193465,0,27548
Experiment_1,9,0,hue vs saturation,fair,4,224,0.46,1,137,168,255,69.85498724,11.88595819,-46.51004039,1,11941
Experiment_1,9,0,hue vs saturation,fair,1,206,0.53,1,119,196,255,76.44934377,-7.646087513,-36.28926601,1,23018
Experiment_1,9,0,hue vs saturation,tanned,11,18,0.66,1,255,137,86,69.34342413,40.72599705,46.78567224,0,15403
Experiment_1,9,0,hue vs saturation,fair,5,226,0.53,1,119,151,255,64.38308839,17.69489015,-55.22630714,1,28786
Experiment_1,9,0,hue vs saturation,tanned,9,11,0.75,1,255,98,63,61.95867951,57.96562002,50.2605249,0,21665
Experiment_1,9,0,hue vs saturation,tanned,12,30,0.54,1,255,186,117,80.55059891,17.48822466,44.50458803,0,8196
Experiment_1,9,0,hue vs saturation,fair,6,354,0.9,1,255,25,48,54.20550192,78.59386793,50.12202637,0,26104
Experiment_1,9,0,hue vs saturation,fair,3,239,0.77,1,58,61,255,40.33980099,61.63584079,-94.43307003,1,24039
